sentence,labels
"In 2007 , the nuclear industry generated more electricity than ever before , and we did it more safely than ever before as evidenced by data on unplanned reactor shutdowns and the industrial safety rate .",['ACCIDENTS/SECURITY']
"Some Soviet designed and built reactors have been a safety concern for many years , but are much better now than in 1986 .",['ACCIDENTS/SECURITY']
"The deuterium electrolysis isnt normally used due to the high power use , not a problem for a reactor station .",['OTHER']
"With each closure of an operating U.S. nuclear power plant , the infrastructure built over the past 50 years – including suppliers , vendors , operators , maintenance and manpower – becomes increasingly imperiled as it serves a dwindling number of plants .",['OTHER']
"Fusion , of course , is the ultimate dream : virtually unlimited , radiation-free clean energy powered by the most abundant element in the universe and with no carbon emissions .","['ENVIRONMENTAL_IMPACT', 'RELIABILITY']"
"Nuclear fusion is a reality , we have observed it in the universe yet building a reactor capable of producing and containing it is still decades away - some say it will not arrive until the middle of this century at the very earliest ( 17 , p7-8 ) .",['TECHNOLOGICAL_INNOVATION']
Fusion offers the potential for basically an inexhaustible source of energy .,['RELIABILITY']
"The FFI also knows that NE can easily replace all the energy produced by coal , oil , and gas .",['FOSSIL_FUELS']
"This technology is readily available , it does not have to be developed first .",['OTHER']
"We see this in stars ( 17 , p1 ) at present and the possibility of a limitless almost cost-free fuel supply is a veritable holy grail for our existing and growing power needs .",['RELIABILITY']
"Also , if we know how to control atomic fusion , the same reactions that fuel the sun , we can have almost unlimited energy .",['RELIABILITY']
I ’ll bet this functionality will be beneficial even at several times background radiation .,['OTHER']
"Besides , it can be built anywhere , provided that there is water around to cool the reactors .",['RELIABILITY']
I have heard rumors that $ 1B would be enough to have a production like facility that would be able to produce modular systems in approx 10 years .,['COSTS']
"So if nuclear power can play a role in cooling our planet , the Lantern thinks it deserves to stay on the table .",['ENVIRONMENTAL_IMPACT']
"The sun shines only part of the time in much of the world , but nuclear energy is beneficial for various military and civilian applications .",['RENEWABLES']
Modern reactors are being built overseas in many countries .,['OTHER']
"Since the development of the atomic bomb , the human race has found other uses for this technology that still divides people - it provides power for our homes and has medicinal uses .",['WEAPONS']
"So the reactor may be cheap , but we just do n’t know how much the reprocessing will cost .",['COSTS']
"On the other hand , if reprocessing really works as well this may be a major proliferation concern – not only getting Pa233 but also Pu239 from a reactor running on normal LEU .",['OTHER']
"If SA could find a place away from human cities and towns that could be used for a nuclear power plant , I think it could work .",['HEALTH_EFFECTS']
"A standard plant could cost as little as $ 2 billion , she said , a fraction of the cost of a uranium-based plant .",['COSTS']
"Depending on reactor design , there may not be enough Helium-3 fuel on earth to supply it .",['RELIABILITY']
We do n't have many natural disasters so that means we have some of the best places to put it .,['ACCIDENTS/SECURITY']
Any such material is transported in containers designed to ensure safety in any circumstance .,['ACCIDENTS/SECURITY']
The logic in making it a generalisation is obviously flawed .,['OTHER']
"New techniques could extend this to 30,000 years , even 60,000 .",['OTHER']
"People dont know that in the production of PV nitrous trifluoride is released , which is a 17,200 times stronger greenhouse gas than CO2 , thus completely defeating PV .",['RENEWABLES']
Public ignorance of general industrial standards of performance means that trivial incidents can acquire high profile in media .,['PUBLIC_DEBATE']
"So of course the first jets had construction mistakes and crashed , but we learned and build better jets .","['TECHNOLOGICAL_INNOVATION', 'ACCIDENTS/SECURITY']"
Australia has all ready enough power .,['OTHER']
"“ Money could be spent on other energies ” Why would anyone in his right mind want to spend money on something else where he would either get less energy , prevent less CO2 , cause more deaths and more pollution ?","['ENVIRONMENTAL_IMPACT', 'HEALTH_EFFECTS', 'RELIABILITY']"
"Even if these technologies were ready , they would n’t be deployable commercially for another two decades .",['TECHNOLOGICAL_INNOVATION']
It is dangerous and why cant they save it for when the world runs out of the power we are using now ?,['ACCIDENTS/SECURITY']
"Waste not properly isolated from the public and the generally accessible environment may contaminate air , soil , and water supplies . ”",['ENVIRONMENTAL_IMPACT']
Thirdly it has n't happened for many years in most countries .,['OTHER']
My reasons are because it can exsplode and kill thousands of people in lots of locations in the world .,['ACCIDENTS/SECURITY']
"If you bring in a talented marketing agency you could not only raise the awareness you could even make it sexy , then people will be demanding it .",['PUBLIC_DEBATE']
Should the welfare of our planet be looked at in profit and loss terms .,['OTHER']
"It ' s suitable for shipping , particularly for vessels that spend a lot of time at sea , this is why it has proven most useful for military applications for submarines that are often away for many months at a time ( 6 ) - the UK ' s Trident fleet is nuclear , as are most aircraft carriers in US and European navies .",['OTHER']
"It is broadly accessible , there is a lot in storage , and it is believed that the supply is going to last much , much longer than that of fossil fuels that are used in the same capacity .","['FOSSIL_FUELS', 'RELIABILITY']"
Civil waste and spent fuel storage is also robust and often below ground level .,['WASTE']
The currently favoured ‘ solution ’ of burying the waste in bedrock and sealing off access for ever is desperate and irresponsible .,['WASTE']
"In the meantime , dry-cask storage can get us through the coming century , but those used fuel rods will remain a problem for at least another 9,900 years after that .",['WASTE']
Declaring that renewables can not do the job is downright stupid .,['RENEWABLES']
"Storage is safe and secure , plans are well in hand for eventual disposal .",['WASTE']
They Do Just Fine With Neculer Power .,['OTHER']
Australia is a stable country which means we do n't have many natural disasters so there is minimal danger and it is easy to store waste safely .,"['WASTE', 'ACCIDENTS/SECURITY']"
"This waste has to be maintained , monitored and guarded to prevent the materials from falling into the wrong hands .",['WASTE']
Australia has many places far away from everybody so no one would get hurt .,['HEALTH_EFFECTS']
"The more technology is available and the more different opportunities you have for reducing emissions , the less costly those pathways [ to 2 C ] tend to be , he said .","['ENVIRONMENTAL_IMPACT', 'COSTS']"
"Again , if it is all about CO2 then why is n’t the USA building NPPs ?",['ENVIRONMENTAL_IMPACT']
"For example , billions of becquerels of radiation leaking from Fukushima are thrown around to lay audiences who have no idea what a becquerel is .","['HEALTH_EFFECTS', 'PUBLIC_DEBATE']"
"The thinking is that big corporations are motivated only to distort the truth , minimize legal exposure , withhold information , and to make money at the expense of the public good if necessary .",['PUBLIC_DEBATE']
There are simply many good things to say .,['OTHER']
World-wide recognized climate experts like Fred Singer have been highly critical of AGW .,['OTHER']
It will also be a good job to get money and kids might study on it .,['OTHER']
Finaly we can store it safely .,['WASTE']
"However when you look at the extensive list of pros you mentioned I think like you probably , wow why has n’t this process been studied and restudied over and over since the early 60 ’s .",['OTHER']
"So hoping for much lower cost is possible , but for now this is wishful thinking .",['COSTS']
The Jervis Bay plan eventually was dropped mainly due to economic considerations .,['COSTS']
"Nevertheless , all this means is that we have to remain open to future replacements of theoretical positions , but holding such positions , even if temporarily , is necessary for us to be able to operate in the real world .",['OTHER']
"It is dangerous because it is been droped on Japan , Russia and other countries .",['ACCIDENTS/SECURITY']
Otherwise is hard to beat .,['OTHER']
"Not only so , they are a sought-after risk because of their high engineering and operational standards .",['ACCIDENTS/SECURITY']
It is one of the significant sources of power all through the country .,['OTHER']
Rendering parts of our planet permanently uninhabitable is more than a “ thorny ” problem .,['ENVIRONMENTAL_IMPACT']
Efforts to recycle it into consumer goods threaten our health .,['HEALTH_EFFECTS']
* Low operating costs ( relatively ) .,['COSTS']
It flagrantly contradicts with the thoughts of sustainability if future generations have to deal with dangerous waste generated from preceding generations .,['ENVIRONMENTAL_IMPACT']
"Wastes are contained and managed , not released .",['WASTE']
"For now , I do n't think it ' s a good idea because it can be dangerous and because it produces a lot of dangerous waste .","['WASTE', 'ACCIDENTS/SECURITY']"
"In fact , considering all inputs including waste management , less than 6 % of the output is required , usually only 2-3 % .",['OTHER']
It is a waste of valuable resources and should not be pursued .,['OTHER']
You Can Put Neucler Waste In Less Populated Areas .,['WASTE']
"When you consider the world ’s energy needs , green is a joke .","['RENEWABLES', 'RELIABILITY']"
Even a major accident and meltdown as at Fukushima in 2011 would not endanger its neighbours .,['ACCIDENTS/SECURITY']
Some people say that it is really dangerous because if one small thing goes wrong it can cause big destruction but I say Australia is a very stable place .,['ACCIDENTS/SECURITY']
"When there are so many cheaper , safer , cleaner and more sustainable alternatives , why the debate ?",['RENEWABLES']
"He notes that ' If we banned everything that can be used to kill people , we would never have harnessed fire . '","['ENERGY_POLICY', 'WEAPONS']"
The local fuel processing of the breeder and burner configurations eliminates the possibility of diversion during transport .,['WEAPONS']
Safeguards would detect any diversion .,['WEAPONS']
Petrol tankers on a public road are more of a hazard than any radioactive material in transit anywhere .,"['FOSSIL_FUELS', 'ACCIDENTS/SECURITY']"
Do n’t we at the very least risk putting off implementation of programs that will greatly improve our planet until it is to late or very difficult at best to reverse the effects of continued population growth and the negatives associated with this growth .,['OTHER']
And it ’s a similar case for oil as it ’s virtually all used for transport - nuclear power ca n’t take its place .,['FOSSIL_FUELS']
This lack of greenhouse gases can be very attractive to some consumers .,['ENVIRONMENTAL_IMPACT']
Dishonest representation of the potential of other low carbon alternatives does not add extra credibility to MSR and it does not help the sense of urgency among developers of MSR to claim that there is no real competition .,['TECHNOLOGICAL_INNOVATION']
The extensive coverage of such accidents was distorted heavily by the mass media and distorted even further by the ignorant population that believed them .,['PUBLIC_DEBATE']
"Modern designs are modular , smaller and quicker to build ( less interest costs ) , thus further improving economics .","['TECHNOLOGICAL_INNOVATION', 'COSTS']"
"It has also exploded in Russia , the same thing happened to Japan .",['ACCIDENTS/SECURITY']
The FFI is taking advantage of the fact that 98 % of the public do not understand the basic physics of energy and many of them have been duped into believing that wind and solar can supply the world ’s energy needs .,['RENEWABLES']
"Yet many of the articles that describe their lives still , out of oxymoronic habit , use scare phrases like “ toxic wasteland , ” “ most highly contaminated on earth , ” and so on .",['PUBLIC_DEBATE']
"Perhaps most significantly , it will squander the resources necessary to implement meaningful climate change solutions .",['ENVIRONMENTAL_IMPACT']
IT IS PROPAGANDA for the low information audience and the green zealots .,['PUBLIC_DEBATE']
It will be secure and not harm anyone and it will save us fortunes .,"['HEALTH_EFFECTS', 'ACCIDENTS/SECURITY', 'COSTS']"
The best part is that this energy has a persistent supply .,['RELIABILITY']
"He abhors adjectives , like “ devastating , ” “ disastrous , ” and the like , and instead goes for numbers to render comparisons visible , a practice that is vigorously shunned by fear mongers .",['PUBLIC_DEBATE']
"The profitability of selling hydrocarbons will be diminished long before they lose significant sales volume measured by amount of material , not by dollar value .",['OTHER']
"First , it ' s not carbon-free , no matter what the advocates tell you .",['ENVIRONMENTAL_IMPACT']
"Also , once the fuel is used , you ca n’t simply take it to the landfill – it ’s radioactive and dangerous .",['WASTE']
"In which time , with greener technology always under development , it could fall behind or become obsolete by the time of completion .",['COSTS']
They also say that many countries have problems with the source of energy but their wrong most of the countries are doing just fine .,['OTHER']
The cons are just the standard greenpeace lies .,['PUBLIC_DEBATE']
"I do n't really have to answer this for the primary objective of showing the sustainability of progress , because I need only show that it is economical enough to sustain progress .",['OTHER']
Lots of countries have not had accident so why should we .,['ACCIDENTS/SECURITY']
"When corporations are confronted with the environmental pollution , concern for profitability dictates that efforts will be made to merely clean up the mess , rather than change the structures responsible for the pollution .",['OTHER']
"Advances in technology will bring the cost down further in the future . ""","['TECHNOLOGICAL_INNOVATION', 'COSTS']"
"In other words , profitability of this environmentally sound technology is minimal .","['ENVIRONMENTAL_IMPACT', 'COSTS']"
"While recycling efforts of this waste product have been undertaken in recent years , the storage of the by-product could lead to contamination through leaks or containment failures .","['ENVIRONMENTAL_IMPACT', 'WASTE']"
Quite to the contrary especially wind power and solar power is reducing cost so fast that the window of opportunity for MSR is closing fast simply because being able to produce energy with MSR ’s is not enough you also have to be competitive in the market place .,"['TECHNOLOGICAL_INNOVATION', 'RENEWABLES']"
Experience to date gives a good idea of costs and earlier estimates are being revised downwards .,['COSTS']
Some argue against its economic viability as well .,['COSTS']
Alleviating the potential for one environmental catastrophe by creating another one is not the answer .,['ENVIRONMENTAL_IMPACT']
"At present , there is a worrisome groundswell of opinion that renewable energy is sufficient to hit that target , Wigley of the University of Adelaide said .",['RENEWABLES']
Waste lasts 200 – 500 thousand years .,['WASTE']
"And once the fuel is spent , you ca n't just throw it in the city dump .",['WASTE']
The available resources may be spread so thin that agencies are unable adequately to pursue protection of the physical environment and natural resources .,['OTHER']
"Secondly , Australia is a stable country so we will rarely have natural disasters.Thirdly , it is a back up power source in case we run out of resources .",['ACCIDENTS/SECURITY']
It is a permanent ‘ dead zone .,['ENVIRONMENTAL_IMPACT']
"Further , the transport casks are massive because of the required amounts of shielding .",['OTHER']
"And it is incorrect to call it waste , because 95 percent of the potential energy is still contained in the used fuel after the first cycle .",['WASTE']
"Ninety-five percent of a spent fuel rod is plain old U-238 , the nonfissionable variety that exists in granite tabletops , stone buildings and the coal burned in coal plants to generate electricity .",['WASTE']
"Keeley said the market "" is n't delivering to us what we actually want , "" but instead is providing a "" flood of electricity from super-cheap natural gas , which is cleaner than coal but is n't really clean . """,['FOSSIL_FUELS']
"The the WHO , UN , etc . , ca n’t be trusted in their belief that NPPs are safe and environmentally harmless .","['ENVIRONMENTAL_IMPACT', 'ACCIDENTS/SECURITY']"
"If people can be convinced that starting endless wars and maintaining 1400 overseas military bases has anything to do with providing security for the nation , surely a simple but sustained ad campaign could define thorium power as something entirely different from the bad nuclear power plants that melted down in Fukushima .","['TECHNOLOGICAL_INNOVATION', 'ACCIDENTS/SECURITY']"
"Having studied many reports and original ORNL documents regarding LFTR , it turns out that LFTR is truly dreadful technology .",['TECHNOLOGICAL_INNOVATION']
Rickover ’s and France ’s experience with sodium cooled reactors has shown that the violent water / sodium chemical reaction makes this design unreliable .,['TECHNOLOGICAL_INNOVATION']
"Chernobyl , a graphite moderated design , shows the horrors of combustible moderators / coolants in a sever accident scenario .",['ACCIDENTS/SECURITY']
The fuel salt is not suited for long term or intermediate storage : like in the MSRE reactor experiment it would disintegrate and very likely get set free in case such a ship would sink .,['TECHNOLOGICAL_INNOVATION']
Reprocessing LWR waste to use it as LFTR fuel has been mentioned by several of the scientists .,['WASTE']
"The problem which has been the focus of much attention by French researchers , is that ORNL ’s single fluid MSBR had a safety flaw in the ORNL one fluid design that if not corrected , could cause loss of control in the ORNL designed one fluid MSBR .","['TECHNOLOGICAL_INNOVATION', 'ACCIDENTS/SECURITY']"
"Meanwhile , with demand for power soaring in emerging markets , China and India are aggressively experimenting with thorium , an element that is more fertile and abundant than uranium , and less hazardous .",['TECHNOLOGICAL_INNOVATION']
Why is corrosion still a problem despite + 60 years when it was first recognized ?,['ACCIDENTS/SECURITY']
Also separation is far from perfect : if 1 % of the thorium is going to waste every cycle ( a value the Russians ( more advance than the US in this field ) hope to reach in the near future ) roughly 30 % of the thorium goes to waste every year when a 10 days cycle is used .,['TECHNOLOGICAL_INNOVATION']
"Given that our world is seriously in need of the kind of generating capacity that a thorium based reactor network could produce , the fact that we are not building these stations right now is one of today ’s most heinous scandals .",['TECHNOLOGICAL_INNOVATION']
"First setting up a research reactor adjacent to an inferior lwr that is nearing the end of its life would be extremely beneficial in many ways , first the waste at the site could be used to fuel the msr to start and reach critical , second the heat exchanger should have a build in still or electrolysis tank for seperating deuterium and tritium since the water would be brought above the necesarry temperatures anyway , this still could produce heavy water for candu style reactors as a moderator , but also high voltage plus heavy water makes neutrons which would be beneficial to a beam driven thorium setup , also seperate tritium and use it for research into fusion or for other applications ( currently priced at around $ 30,000 a Gram ) this still would also purify sea water to fresh potable water , from water that had run through the lwr and remove any tritium caused by stray neutrons .",['TECHNOLOGICAL_INNOVATION']
"p.s . Running a LFTR under water or even on board a ship is a really bad idea : the reactor may be a good design on land , but it is just not compatible with water .",['TECHNOLOGICAL_INNOVATION']
"Do we really want to invest in more fission technology , LFTR and similar , when LENR do not have these problems ?",['TECHNOLOGICAL_INNOVATION']
"LFTR proponents are just getting a “ free ride ” at public expense , just like all the waste Tokomak fusion research ( 100 billion USD ) , that has not yet yielded any commercial fusion reactor design ?",['TECHNOLOGICAL_INNOVATION']
"The World Nuclear Association estimates the world ' s thorium supply at more than 5.3 million tons , with India ranked first .",['TECHNOLOGICAL_INNOVATION']
Corrosion could be an issue if the chemical balance is incorrect .,['ACCIDENTS/SECURITY']
"In a two-liquid arrangement ( core and surrounding Thorium blanket as neutron reflector ) , a graphite or Hastelloy-N separating barrier could fail , e.g. due to thermal stress , corrosion and / or neutron embrittlement , such that cleaning up a LFTR after missing of core and blanket would be one unholy mess and extremely hazardous due to the high Gamma flux .","['TECHNOLOGICAL_INNOVATION', 'ACCIDENTS/SECURITY']"
"Not only do Thorium LFTR plants produce just a small fraction of the nuclear waste produced by current plants , they can also consume much of our existing nuclear waste stockpiles by adding certain amounts of this waste directly into the liquid Thorium / Molten Salt core of an operating LFTR plant .","['TECHNOLOGICAL_INNOVATION', 'WASTE']"
Even with only 0.1 % loss and a 10 day cycle something like 2 / 3 of the thorium would end up in the wast .,['TECHNOLOGICAL_INNOVATION']
"It should also be noted that LFTR run at criticality with all its inherent control problems , even if the melt has a negative temperature coefficient offset by graphite positive coefficient .",['TECHNOLOGICAL_INNOVATION']
"Leslie Dewan , co-founder and chief science officer at Transatomic Power – a nuclear power start-up that uses a spent uranium process similar to thorium — said in an interview that thorium has "" significant safety advantages . """,['TECHNOLOGICAL_INNOVATION']
"The myth about Thorium LFTR should be destroyed , and a sensible pragmatic approach taken via renewables ; they do not generate any form of radioactive waste !","['TECHNOLOGICAL_INNOVATION', 'WASTE']"
Personally I would task / reward / encourage every University in the UK to produce a working Thorium Reactor model every year .,['TECHNOLOGICAL_INNOVATION']
"If our ( U.S. ) government were committed to developing a superior nuclear technology , such as the LFTR , it could find ways to make it happen and to be deployed .",['TECHNOLOGICAL_INNOVATION']
It ' s precisely the memories of Fukushima and the 1986 Chernobyl disaster that make thorium reactors seem appealing to some .,['TECHNOLOGICAL_INNOVATION']
In this way LFTR designs can actually consume the still substantial heat of nuclear waste to generate useful electrical power from this formerly unwanted and greatly feared by-product .,['TECHNOLOGICAL_INNOVATION']
Cochran said that both SMRs and thorium have features that make them more attractive than traditional plants .,['TECHNOLOGICAL_INNOVATION']
The Protactinium decays naturally in 27 days to U233 and that is considered one of the admirable outcomes of the Thorium Cycle .,['TECHNOLOGICAL_INNOVATION']
"Taking into account the carbon-equivalent emissions associated with the entire nuclear life cycle , nuclear plants contribute significantly to climate change and will contribute even more as stockpiles of highgrade uranium are depleted . """,['ENVIRONMENTAL_IMPACT']
"Further , at current global nuclear capacity , known uranium resources will last only 34 years . """,['RELIABILITY']
Nuclear energy extracts by far more energy from the natural resource Uranium than does the exploitation of oil or any other natural resource .,['FOSSIL_FUELS']
"Just one uranium pellet has a comparable output of ( 8 ) 17,000 cubic feet of methane , 149 gallons of crude oil or 1,780 lb of coal and it is infinitely cleaner too .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS', 'RELIABILITY']"
"Nuclear power is a very useful source of energy , plus we have a third of the worlds uranium .",['RELIABILITY']
"The cost of the uranium , which is utilized as a fuel in this process , is low .",['COSTS']
The amount of fuel required by nuclear power plant is comparatively less than what is required by other power plants as energy released by nuclear fission is approximately ten million times greater than the amount of energy released by fossil fuel atom .,"['FOSSIL_FUELS', 'RELIABILITY']"
"For all this , it ' s worth noting that uranium is a very efficient energy source : One ton of natural uranium can produce the same number of kilowatt-hours as 16,000 tons of coal or 80,000 barrels of oil .","['FOSSIL_FUELS', 'RELIABILITY']"
* The majority of known uranium around the world lies under land controlled by tribes or indigenous peoples who do n’t support it being mined from the earth .,"['ENERGY_POLICY', 'RELIABILITY']"
How long can we expect supplies of Uranium and nuclear energy to last ?,['RELIABILITY']
"It is pretty expensive to mine , refine and transport uranium .",['COSTS']
"Uranium is also less expensive to procure and transport , which further lowers the cost .",['COSTS']
The process of mining and refining uranium has n’t been a clean process .,['ENVIRONMENTAL_IMPACT']
"A large amount of uranium ore needs to be mined , milled , refined and enriched in order to produce that little tiny pellet that has the energy of many coal hopper cars .",['RELIABILITY']
"Uranium is a scarce resource , its supply is estimated to last only for the next 30 to 60 years depending on the actual demand .",['RELIABILITY']
"Uranium miners experience higher rates of lung cancer , tuberculosis and other respiratory diseases .",['HEALTH_EFFECTS']
"The amount of Uranium on the earth is n’t NEARLY enough to sustain us for long enough to relieve the need of fossil fuels , we ’re talking no more than 80 years for the remaining Uranium to be mined and used .","['FOSSIL_FUELS', 'RELIABILITY']"
"Remember , fluoride volatility extracts uranium very effectively , and is currently used in making LWR fuel ( it works , and equipment is NRC-approved ) .",['OTHER']
The quantity of available uranium is limited and will reduce .,['RELIABILITY']
"The on-the-ground footprint of nuclear power , through its plants and uranium mines , is about 1,000 times larger than it is for wind .","['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
"Even if the cost of uranium goes up , the impact on the cost of power will be that much lower .",['COSTS']
It would also be cheap for our country because we have a third of the worlds uranium .,['COSTS']
"The worldwide anti-nuclear power movement has provided enormous stimulation to the Australian movement , and the decline in nuclear power expansion since the late 1970s - due substantially to worldwide citizen opposition - has been a great setback for Australian uranium mining interests .",['PUBLIC_DEBATE']
"At present , our nuclear energy is produced by “ fission ” which is process of splitting an atom ( 18 ) ; the energy release is millions of times more efficient than burning of coal or gas .","['FOSSIL_FUELS', 'RELIABILITY']"
The Inquiry did in fact analyse the overall dangers of the nuclear industry and concluded that no decision on uranium mining should occur without public debate .,['PUBLIC_DEBATE']
What if we run out uranium ?,['RELIABILITY']
"In a pinch , uranium could even be extracted from sea water with little impact on electrical costs .",['RELIABILITY']
"Uranium enrichment plants are major emitters of chemicals which damage the ozone layer , specifically CFC-114 ( Freon ) used as coolant .",['ENVIRONMENTAL_IMPACT']
"Uranium sources are just as finite as other fuel sources , such as coal , natural gas , etc . , and are expensive to mine , refine , and transport , and produce considerable environmental waste ( including greenhouse gasses ) during all of these processes .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS', 'COSTS', 'RELIABILITY']"
"Uranium , the nuclear fuel that is used to produced nuclear energy is limited and can not be produced again and again on demand .",['RELIABILITY']
"When you take into account every nuclear plant on Earth , the combined total climbs to roughly 2,000 metric tons a year [ source : NEI ] .",['OTHER']
"Although it takes about 20 times more mining for coal as it does for the same amount of uranium , one still has to consider the environmental damage from the radiaton gases being released into the atmosphere , the groundwater contamination and the radioactive dust in the air .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
I know some people will say we will run out of uranium eventually and if a meltdown happens it will kill thousands of people .,"['ACCIDENTS/SECURITY', 'RELIABILITY']"
"In fact , 58 % of global uranium supplies come from only three countries and its processing as fuel can only be carried out in six countries .","['ENERGY_POLICY', 'RELIABILITY']"
"What about the mining of Uranium , and what general environmental risks might this pose ?",['ENVIRONMENTAL_IMPACT']
"Historically , mining and purifying uranium has n't been a very clean process .",['ENVIRONMENTAL_IMPACT']
Mass mobilisation against uranium also challenges capitalism by bringing under scrutiny the rationale of pursuing profitability at the expense of social responsibility and by direct economic blows to corporate profitability .,['PUBLIC_DEBATE']
"Nuclear power is alleged to be beneficial , but uranium mining is a severe cultural threat to Aborigines , who are already a strongly oppressed group in Australia .",['ENERGY_POLICY']
It is said that the world ' s uranium fuel supply should last in the region of 90 years ( 15 ) - which is not a huge amount of time ; the oil reserve is said to be around sixty years .,"['FOSSIL_FUELS', 'RELIABILITY']"
"While coal , NG , and petroleum are bound to rise and decline , much of the uranium has not been mined and lots more have not been discovered .","['FOSSIL_FUELS', 'RELIABILITY']"
Mining and milling operators must deal with mill tailings â € ” the radioactive material left over after the uranium has been extracted from the oreâ € ” as well as waste rock and radiologically contaminated equipment .,['HEALTH_EFFECTS']
Uranium is potentially hazardous to miners ' health .,['HEALTH_EFFECTS']
There is only 50 years worth of high uranium ores left in the world .,['RELIABILITY']
Uranium mining can also damage the environment .,['ENVIRONMENTAL_IMPACT']
"Moreover , one in five uranium miners in the Southwest has contracted some form of cancer .",['HEALTH_EFFECTS']
"If direct action by workers began to be sustained through community support , it is quite possible that other channels for stopping uranium mining could come into play : the government - especially a Labor government - might back away from confrontation with unions supported by the community , or corporations might decide investment in this controversial area was too risky .",['ENERGY_POLICY']
"Just 1kg of uranium , for example , produces the same energy as 2000 metric tonnes of coal ( 1 ) .","['FOSSIL_FUELS', 'RELIABILITY']"
The cost of uranium will spike : The amount of uranium is limited and will decline with more nuclear power plants .,"['COSTS', 'RELIABILITY']"
"Conventional mining has caused dust and radon inhalation for workers – resulting in high rates of lung cancer and other respiratory diseases – and both types of mining have caused serious contamination of groundwater . ""","['ENVIRONMENTAL_IMPACT', 'HEALTH_EFFECTS']"
"People dont know that coal plants blow out and release radon , thorium and uranium in large quantities , About 800.000 tonnes uranium globally and 2 mio tonnes thorium .",['FOSSIL_FUELS']
"In the whole fuel cycle , nuclear power uses nearly as much energy as it produces .",['RELIABILITY']
Nuclear fission produces roughly a million times more energy per unit weight than fossil fuel alternatives [ source : Helman ] .,"['FOSSIL_FUELS', 'RELIABILITY']"
There may be only 200 years left of all uranium ores including poor uranium ores which take more energy to mine and process and thus release more carbon emissions .,"['ENVIRONMENTAL_IMPACT', 'RELIABILITY']"
Nuclear provides 14 % of world electricity .,['OTHER']
"As you have a massive concentration of power in very small quantities of uranium , the costs to produce energy decrease drastically .",['COSTS']
"Mining uranium is very dangerous for workers "" The Case Against Nuclear Power "" .",['HEALTH_EFFECTS']
The same quantity of energy if it came from nuclear reactions would make fourteen thousand tons of high level waste .,['WASTE']
The reserves of uranium ores used to generate nuclear power are going to run out .,['RELIABILITY']
There is not enough uranium to sustain nuclear power beyond a few decades .,['RELIABILITY']
"Uranium mining , milling , leeching , plant construction and decommissioning all produce substantial amounts of GHG .",['ENVIRONMENTAL_IMPACT']
Uranium deposits are relatively common .,['OTHER']
Uranium is further subject to large price hikes since the resource is only available to a few countries .,['COSTS']
"And there ' s heaps of energy stored away in those tiny uranium atoms , which could provide plenty of power for the future .",['RELIABILITY']
"However , by 1974 sections of the Australian Labor Party ( ALP ) and the public generally were becoming concerned with the hazards of uranium mining and the impact of mining on traditional Aboriginal communities .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY', 'PUBLIC_DEBATE']"
"Abandoned mines from the Cold War era continue to pose contamination problems in the Navajo Nation.Â ( Today , most of the uranium used in American reactors comes from Canada , Australia , and Russia . )",['ENVIRONMENTAL_IMPACT']
"Uranium mining is the first step in the nuclear power cycle ; it has taken the lives of many miners all over the world causing environmental contamination , cancers and nuclear waste .","['ENVIRONMENTAL_IMPACT', 'WASTE', 'HEALTH_EFFECTS']"
"People dont know that radioactive tailings are produced in the production process of neodynium for windmills , and that neodynium is therefore no longer produced in the USA .",['RENEWABLES']
"In fact , a gram of uranium can generate as much electricity as four tonnes of coal .","['FOSSIL_FUELS', 'RELIABILITY']"
"Greenhouse gases are emitted throughout the nuclear fuel chain , from mining the uranium , its enrichment , transportation and the construction of the plants .",['ENVIRONMENTAL_IMPACT']
"Uranium is Finite : Just like other sources of fuel , uranium is also finite and exists in few of the countries .",['RELIABILITY']
"The danger was further demonstrated in November 1983 when Labor Caucus , at the initiative of Cabinet , gave the go-ahead for Roxby Downs , potentially the largest uranium mine in the world .",['ENERGY_POLICY']
"Uranium mining , which creates serious health and environmental problems , has disproportionately impacted indigenous people because much of the world ’s uranium is located under indigenous land .",['HEALTH_EFFECTS']
The fuel necessary to generate energy is uranium and the power originated from the nuclear fission of its atoms produces an incredible amount of energy .,['RELIABILITY']
Environmental Impact : One of the biggest issues is environmental impact in relation to uranium .,['ENVIRONMENTAL_IMPACT']
"Also , directly mining Uranium is not the only source we can use .",['OTHER']
"According to the Nuclear Energy Institute , the power produced by the world ' s nuclear plants would normally produce 2 billion metric tons of CO2 per year if they depended on fossil fuels .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"Furthermore , according to research by Friends of the Earth , if the extremely polluting and dangerous mining and refining of uranium are included in the running of nuclear plants , they emit 250,000 tons of CO2 for every year of operation .",['ENVIRONMENTAL_IMPACT']
"In India , the country with the most recent experience of nuclear reactor construction , completion costs for the last 10 reactors have , on average , been 300 % over budget .",['COSTS']
"However , high construction costs have hindered the development of nuclear power in many countries .",['COSTS']
