response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"PRICES 
",gemma2:27b,2024-09-11T15:10:14.974756449Z,stop,287056766,49977217,199,43467000,5,103551000,A minimum wage hike will only help to foster more inflation .,['PRICES'],1,['PRICES']
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE, PRICES 
",gemma2:27b,2024-09-11T15:10:15.513393827Z,stop,494100543,54283301,213,52856000,14,340184000,"Some companies will be able to absorb the increased labor costs , while others with thin profit margins might cut their workforce or raise prices .","['COMPETITION/BUSINESS_CHALLENGES', 'UN/EMPLOYMENT_RATE', 'PRICES']",3,"['PRICES', 'UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"UN/EMPLOYMENT_RATE 
TURNOVER  
COMPETITION/BUSINESS_CHALLENGES 
",gemma2:27b,2024-09-11T15:10:16.32006317Z,stop,712389397,52828213,207,52770000,21,520330000,"It is assumed that the higher the wage , the fewer hours an employer will demand of an employee .",['UN/EMPLOYMENT_RATE'],3,"['UN/EMPLOYMENT_RATE', 'TURNOVER', 'COMPETITION/BUSINESS_CHALLENGES']"
"GOVERNMENT, PRICES 

**Explanation:**

* **GOVERNMENT:** The sentence directly refers to ""minimum wage laws"" which are enacted and enforced by governments. 
* **PRICES:**  Minimum wage laws are a form of price control, specifically setting a floor on the price of labor. 


",gemma2:27b,2024-09-11T15:10:18.101620068Z,stop,1777615865,55946595,200,47006000,62,1586832000,"Like all government price controls , minimum wage laws are distortionary .",['GOVERNMENT'],2,"['PRICES', 'GOVERNMENT']"
"SOCIAL_JUSTICE/INJUSTICE,  WELFARE 
",gemma2:27b,2024-09-11T15:10:18.672784973Z,stop,524991619,59808607,221,57260000,15,364139000,"While making a dollar more an hour may not sound like much to many of us , for someone who is tight on finances that forty dollars a week can really add up .",['SOCIAL_JUSTICE/INJUSTICE'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'WELFARE']"
"ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:19.087927943Z,stop,328326643,56552560,210,52678000,6,132088000,"Increasing the minimum wage would have a ripple effect , raising the incomes of people who make slightly above the minimum wage .",['ECONOMIC_IMPACT'],1,['ECONOMIC_IMPACT']
"UN/EMPLOYMENT_RATE 
ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:19.609169352Z,stop,473547852,55776611,227,61470000,13,311147000,"The main potential negative impact of raising the minimum wage is the loss of close to 500,000 jobs , which comes out to around 0.3 % decrease in employment .",['UN/EMPLOYMENT_RATE'],2,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"Here's a breakdown of the coding for the provided sentence:

* **ECONOMIC_IMPACT:** The sentence discusses the potential impact of a basic income on wage negotiations, implying broader economic consequences.
* **TURNOVER:**  The idea of increased bargaining power could lead to lower employee turnover as people are less likely to leave jobs due to dissatisfaction with wages. 
* **LOW-SKILLED:** While not explicitly stated, basic income often targets lower-skilled workers who might struggle in traditional employment markets.

Let me know if you'd like me to code more sentences! 
",gemma2:27b,2024-09-11T15:10:22.968063458Z,stop,3312628067,63628758,224,62214000,121,3142499000,It is argued that recipients of the basic income would have considerably more bargaining power when negotiating a wage with an employer as there would be no risk of destitution for not taking the employment .,['CAPITAL_VS_LABOR'],3,"['LOW', 'TURNOVER', 'ECONOMIC_IMPACT']"
"CAPITAL_VS_LABOR 
COMPETITION/BUSINESS_CHALLENGES 


",gemma2:27b,2024-09-11T15:10:23.677861965Z,stop,622033411,58057327,217,58446000,17,416242000,But it ’s still important to remember that raising the minimum wage ultimately really only hurts one group : major corporations and the assholes in charge of them .,['COMPETITION/BUSINESS_CHALLENGES'],2,"['CAPITAL_VS_LABOR', 'COMPETITION/BUSINESS_CHALLENGES']"
"ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:24.002469519Z,stop,278665814,55172554,206,46482000,6,132640000,Perhaps the fact that workers will have more to spend will blunt any impact from higher labor costs .,"['COMPETITION/BUSINESS_CHALLENGES', 'SOCIAL_JUSTICE/INJUSTICE']",1,['ECONOMIC_IMPACT']
"GOVERNMENT 

COMPETITION/BUSINESS_CHALLENGES  
",gemma2:27b,2024-09-11T15:10:24.540049237Z,stop,492537071,60732491,242,75006000,13,312866000,"I mean , nobody works for minimum wage , back to this whole notion of showing up on time and wearing clean clothes gets you way above the minimum wage … I just think when government gets involved in setting wages , there 's no stopping what government will intervene in doing . """,['GOVERNMENT'],2,"['GOVERNMENT', 'COMPETITION/BUSINESS_CHALLENGES']"
"UN/EMPLOYMENT_RATE, ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:25.032586577Z,stop,444945306,55646486,221,58819000,12,286216000,The Chamber of Commerce warned on no less than four separate occasions from 1975 to 1989 that minimum wage rises would cost millions of jobs .,['UN/EMPLOYMENT_RATE'],2,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE 
",gemma2:27b,2024-09-11T15:10:25.539899136Z,stop,459569942,55819803,236,73924000,12,286709000,"It obviously varies by location — but Los Angeles Mayor Eric Garcetti commissioned a study on the issue , and found that a citywide minimum wage of $ 13.25 an hour would provide a significant economic stimulus with negligible job loss .","['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']",2,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:25.86829493Z,stop,280731788,56022606,202,47634000,6,133434000,Improvements in productivity and economic growth have outpaced increases in the minimum wage .,['PRICES'],1,['ECONOMIC_IMPACT']
"LOW-SKILLED 
",gemma2:27b,2024-09-11T15:10:26.251036926Z,stop,335448309,56502098,213,52221000,8,183736000,-SKILLED Companies can be more selective in those whom they employ thus the least skilled and least experienced will typically be excluded .,['LOW'],1,['LOW']
"Here's the coding for the provided text based on the given codebook:

* **ECONOMIC_IMPACT** 
* **UN/EMPLOYMENT_RATE**  (The text mentions layoffs which directly tie into unemployment rates.)
* **TURNOVER** (Layoffs are a form of employee turnover)


Let me know if you have more sentences to code! 
",gemma2:27b,2024-09-11T15:10:28.441901409Z,stop,2142503488,53592253,223,60933000,77,1981148000,"If employers find that a wage increase for all their employees if going to financially hurt the company until it can adjust or permanently , employers are more likely to give temporary or permanent layoffs .","['COMPETITION/BUSINESS_CHALLENGES', 'UN/EMPLOYMENT_RATE']",3,"['UN/EMPLOYMENT_RATE', 'TURNOVER', 'ECONOMIC_IMPACT']"
"YOUTH_AND_SECONDARY_WAGE_EARNERS, UN/EMPLOYMENT_RATE 
",gemma2:27b,2024-09-11T15:10:29.257089849Z,stop,725442245,57270000,216,58064000,21,519878000,"Thus , minimum wage is more often imposed on the sixteen-year-old worker with his first job than on people who would otherwise be unemployed .",['YOUTH_AND_SECONDARY_WAGE_EARNERS'],2,"['YOUTH_AND_SECONDARY_WAGE_EARNERS', 'UN/EMPLOYMENT_RATE']"
"LOW-SKILLED 
SOCIAL_JUSTICE/INJUSTICE 


**Explanation:**

* **LOW-SKILLED:** The phrase ""low-wage workers"" directly indicates the target demographic of the argument, which are typically categorized as low-skilled workers.

* **SOCIAL_JUSTICE/INJUSTICE:**  The statement highlights a concern for ""stagnant incomes,"" suggesting an issue of fairness and economic disparity, key themes within discussions of social justice. 
",gemma2:27b,2024-09-11T15:10:32.035013786Z,stop,2731550974,55746959,209,52554000,100,2579104000,So might a handful of Republicans looking to demonstrate that they too care about stagnant incomes for low-wage workers .,['SOCIAL_JUSTICE/INJUSTICE'],2,"['LOW', 'SOCIAL_JUSTICE/INJUSTICE']"
"SOCIAL_JUSTICE/INJUSTICE, LOW_SKILLED  


**Explanation:**

* **SOCIAL_JUSTICE/INJUSTICE:** The statement highlights that minimum wage earners contribute significantly to their households' income (46%), implying a discussion about the fairness and adequacy of their wages. 
* **LOW_SKILLED:**  The fact that over half of minimum wage workers have full-time schedules suggests they might be in lower-skilled positions, as those jobs are often more likely to offer minimum wage. 
",gemma2:27b,2024-09-11T15:10:35.200462858Z,stop,3076687683,57413873,225,61514000,111,2868810000,"According to the Department of Labor , over half of people paid at minimum wage work a full-time schedule , and minimum wage workers contribute 46 percent of their household ’s income .",['YOUTH_AND_SECONDARY_WAGE_EARNERS'],2,"['LOW', 'SOCIAL_JUSTICE/INJUSTICE']"
"SOCIAL_JUSTICE/INJUSTICE, GOVERNMENT, WELFARE  
",gemma2:27b,2024-09-11T15:10:35.790078271Z,stop,583747208,60304638,231,71488000,15,362941000,When it was developed as a guideline the theory was that it would offset poverty by requiring business owners and corporate entities to pay a wage that would raise people up out of the poverty level and remove the need for government assistance .,"['SOCIAL_JUSTICE/INJUSTICE', 'WELFARE']",3,"['SOCIAL_JUSTICE/INJUSTICE', 'GOVERNMENT', 'WELFARE']"
"LOW-SKILLED 
YOUTH_AND_SECONDARY_WAGE_EARNERS
SOCIAL_JUSTICE/INJUSTICE  


Let me know if you'd like me to code any other sentences! 
",gemma2:27b,2024-09-11T15:10:37.216688727Z,stop,1380949063,58311346,209,53191000,48,1223203000,"The sweatshops employed large numbers of women and young workers , paying them what were considered to be substandard wages .",['CAPITAL_VS_LABOR'],3,"['LOW', 'YOUTH_AND_SECONDARY_WAGE_EARNERS', 'SOCIAL_JUSTICE/INJUSTICE']"
"TURNOVER 
ECONOMIC_IMPACT 
UN/EMPLOYMENT_RATE 


",gemma2:27b,2024-09-11T15:10:37.915112965Z,stop,611562980,56002065,207,51183000,17,417756000,Academic research also has shown that higher wages sharply reduce employee turnover which can reduce employment and training costs .,['TURNOVER'],3,"['UN/EMPLOYMENT_RATE', 'TURNOVER', 'ECONOMIC_IMPACT']"
"SOCIAL_JUSTICE/INJUSTICE, 
LOW-SKILLED  
",gemma2:27b,2024-09-11T15:10:38.585434896Z,stop,665499094,55695739,220,55153000,19,466581000,"There are better ways to address poverty , such as income tax credits for low-income workers or tax policies that encourage asset development and savings for low-income families .","['SOCIAL_JUSTICE/INJUSTICE', 'WELFARE']",2,"['LOW', 'SOCIAL_JUSTICE/INJUSTICE']"
"PRICES 
",gemma2:27b,2024-09-11T15:10:38.941442355Z,stop,265863034,56532059,211,52529000,5,106791000,I have a business partner who said he will have to increase his prices by 40 percent if it happens . ”,['PRICES'],1,['PRICES']
"SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:10:39.392019134Z,stop,404347242,57073253,198,42733000,11,261880000,Minimum wage has long been a minimum standard of living .,['SOCIAL_JUSTICE/INJUSTICE'],1,['SOCIAL_JUSTICE/INJUSTICE']
"ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:39.721618748Z,stop,282054261,55693377,207,50650000,6,131679000,Reich and Cooper both said research has shown such increases have small overall effects on employers ' operating costs .,['COMPETITION/BUSINESS_CHALLENGES'],1,['ECONOMIC_IMPACT']
"ECONOMIC_IMPACT, GOVERNMENT 
",gemma2:27b,2024-09-11T15:10:40.122879638Z,stop,355254088,56178260,241,73477000,8,182059000,"The Economist stated in 2015 that "" America as a whole is an outlier among advanced economies ... one would expect America , where GDP per person is $ 53,000 , to pay a minimum wage around $ 12 an hour .",['SOCIAL_JUSTICE/INJUSTICE'],2,"['GOVERNMENT', 'ECONOMIC_IMPACT']"
"GOVERNMENT 

**Explanation:** The sentence discusses businesses needing a break on ""taxes and fees,"" which falls under the purview of government policy. 
",gemma2:27b,2024-09-11T15:10:41.093967649Z,stop,926332732,57012581,202,45221000,31,781350000,Ngoussou says businesses like his need a break on taxes and fees .,['COMPETITION/BUSINESS_CHALLENGES'],1,['GOVERNMENT']
"ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:10:41.519006356Z,stop,335451093,57089782,219,57550000,6,131243000,"“ Molly Moon 's has seen increased sales and increased profitability and my employees are so thankful for the paid safe and sick leave , ” said owner Molly Moon .","['COMPETITION/BUSINESS_CHALLENGES', 'SOCIAL_JUSTICE/INJUSTICE']",1,['ECONOMIC_IMPACT']
"ECONOMIC_IMPACT 
UN/EMPLOYMENT_RATE 
",gemma2:27b,2024-09-11T15:10:42.028200749Z,stop,460549032,55185404,206,46679000,13,314155000,We create more jobs when other people have more money in their pockets to spend at our businesses .,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']",2,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"Here's the coding for the provided sentence:

* **UN/EMPLOYMENT_RATE**  
* **LOW_SKILLED** 
* **YOUTH_AND_SECONDARY_WAGE_EARNERS**
* **COMPETITION/BUSINESS_CHALLENGES**


**Explanation:**

The sentence argues that a higher minimum wage will negatively impact hiring for young and low-skilled workers, particularly during a time of high unemployment. This touches on:

* **UN/EMPLOYMENT_RATE:** The direct mention of ""crisis-level unemployment"" highlights this aspect.
* **LOW_SKILLED:**  The phrase ""young and low-skill workers"" clearly identifies this group as being affected.
* **YOUTH_AND_SECONDARY_WAGE_EARNERS:** ""Young"" workers are a subset of this category.
* **COMPETITION/BUSINESS_CHALLENGES:** The sentence implies that businesses will face increased costs (""make it more expensive"") due to the higher minimum wage, presenting a challenge. 
",gemma2:27b,2024-09-11T15:10:47.746968165Z,stop,5671353527,55830141,217,56655000,212,5514972000,-SKILLED Because it will make it more expensive for businesses to hire young and low-skill workers at a time of crisis-level unemployment .,"['LOW', 'UN/EMPLOYMENT_RATE']",4,"['LOW', 'YOUTH_AND_SECONDARY_WAGE_EARNERS', 'UN/EMPLOYMENT_RATE', 'COMPETITION/BUSINESS_CHALLENGES']"
"COMPETITION/BUSINESS_CHALLENGES 


Let me explain why:

* **COMPETITION/BUSINESS_CHALLENGES:** The phrase ""businesses shape up"" suggests that a higher minimum wage forces companies to become more efficient or competitive to handle the increased labor costs. This aligns with the concept of businesses facing challenges and needing to adapt in response to changes in economic conditions. 
",gemma2:27b,2024-09-11T15:10:50.012134563Z,stop,2176210357,60187066,202,46605000,77,1982271000,"When the minimum wage goes up , the theory says , businesses shape up .",['COMPETITION/BUSINESS_CHALLENGES'],1,['COMPETITION/BUSINESS_CHALLENGES']
"SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:10:50.452944593Z,stop,435168501,38217967,210,49060000,11,260170000,"But , if your goal is suring up the broader working class , they might seem like a rather good deal .",['SOCIAL_JUSTICE/INJUSTICE'],1,['SOCIAL_JUSTICE/INJUSTICE']
"SOCIAL_JUSTICE/INJUSTICE, WELFARE 
",gemma2:27b,2024-09-11T15:10:50.959028562Z,stop,459280766,56961381,205,45926000,13,313609000,"But in addition , paying higher wages reduces poverty and the strain on the social safety net .",['SOCIAL_JUSTICE/INJUSTICE'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'WELFARE']"
"SOCIAL_JUSTICE/INJUSTICE 
LOW_SKILLED 
",gemma2:27b,2024-09-11T15:10:51.628173254Z,stop,616420665,56289263,241,73679000,18,443375000,"When you see people arguing against a minimum wage increase on the grounds that fast food workers do n’t deserve to make what other likewise underpaid workers make , that is as soul-crushingly perfect an illustration of the crab bucket mentality as you ’ll ever see .",['SOCIAL_JUSTICE/INJUSTICE'],2,"['LOW', 'SOCIAL_JUSTICE/INJUSTICE']"
"LOW-SKILLED, YOUTH_AND_SECONDARY_WAGE_EARNERS, SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:10:52.651317561Z,stop,935528629,56908429,223,60870000,29,728218000,"For millions of agricultural workers , fast food workers , and retail workers , minimum-wage labor is n’t just a supplement — it ’s what they depend on to survive .","['YOUTH_AND_SECONDARY_WAGE_EARNERS', 'SOCIAL_JUSTICE/INJUSTICE']",3,"['LOW', 'YOUTH_AND_SECONDARY_WAGE_EARNERS', 'SOCIAL_JUSTICE/INJUSTICE']"
"LOW-SKILLED 

ECONOMIC_IMPACT
MOTIVATION/CHANCES 
",gemma2:27b,2024-09-11T15:10:53.315163153Z,stop,658792859,51560578,213,51425000,19,467971000,-SKILLED Increasing employment opportunity gives low-skilled workers the best chance of finding employment and climbing up the economic mobility ladder .,"['LOW', 'MOTIVATION/CHANCES']",3,"['LOW', 'MOTIVATION/CHANCES', 'ECONOMIC_IMPACT']"
"COMPETITION/BUSINESS_CHALLENGES 


Let me explain why:

This statement presents a common argument against raising the minimum wage for tipped workers: it will negatively impact businesses in the restaurant industry. This falls squarely under the category of  **COMPETITION/BUSINESS_CHALLENGES**. 
",gemma2:27b,2024-09-11T15:10:55.097210043Z,stop,1693487696,53024605,215,56728000,60,1538316000,Myth : Raising the federal tipped minimum wage ( $ 2.13 per hour since 1991 ) would hurt restaurants .,['COMPETITION/BUSINESS_CHALLENGES'],1,['COMPETITION/BUSINESS_CHALLENGES']
"SOCIAL_JUSTICE/INJUSTICE 
LOW-SKILLED
UN/EMPLOYMENT_RATE 


Let me explain my reasoning:

* **SOCIAL_JUSTICE/INJUSTICE:** The phrase ""worker exploitation"" directly points to a concern for fairness and equitable treatment of employees, which falls under the umbrella of social justice.

* **LOW_SKILLED:** While not explicitly stated, the implication is that minimum wage laws would primarily benefit workers in lower-skilled positions who are more susceptible to underemployment and exploitation. 

* **UN/EMPLOYMENT_RATE:** The statement suggests that a reasonable minimum wage can help address underemployment, implying an impact on overall employment rates. 
",gemma2:27b,2024-09-11T15:10:59.121689658Z,stop,3974945059,54727209,200,45711000,144,3732869000,Worker exploitation and underemployment can be avoided with reasonable minimum wages .,"['UN/EMPLOYMENT_RATE', 'CAPITAL_VS_LABOR']",3,"['LOW', 'SOCIAL_JUSTICE/INJUSTICE', 'UN/EMPLOYMENT_RATE']"
"SOCIAL_JUSTICE/INJUSTICE,  MOTIVATION/CHANCES 
",gemma2:27b,2024-09-11T15:10:59.767355811Z,stop,599650931,53709725,216,57595000,18,441357000,"I want people to have more command in the workplace , and I want them to have much more than $ 7.25 an hour .",['MOTIVATION/CHANCES'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'MOTIVATION/CHANCES']"
"PRICES 
",gemma2:27b,2024-09-11T15:11:00.161750045Z,stop,305944946,59429716,209,52398000,5,106612000,One potential effect could be higher prices at those businesses that now must pay their workers twice as much as before .,['PRICES'],1,['PRICES']
"COMPETITION/BUSINESS_CHALLENGES, ECONOMIC_IMPACT  
",gemma2:27b,2024-09-11T15:11:00.715724242Z,stop,508031238,55862052,232,70785000,14,337747000,"According to the Statistic Brain Research Institute , 2,382,000 US jobs were outsourced in 2015 with 44 % of companies saying they did so to reduce or control costs .",['UN/EMPLOYMENT_RATE'],2,"['ECONOMIC_IMPACT', 'COMPETITION/BUSINESS_CHALLENGES']"
"SOCIAL_JUSTICE/INJUSTICE 


",gemma2:27b,2024-09-11T15:11:01.264639096Z,stop,460978519,57848864,210,52311000,11,262203000,""" We 've chosen to let workers at the bottom fall farther and farther away from people in the middle . """,['SOCIAL_JUSTICE/INJUSTICE'],1,['SOCIAL_JUSTICE/INJUSTICE']
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE, PRICES 
",gemma2:27b,2024-09-11T15:11:01.80337378Z,stop,534041890,57819451,211,49779000,14,338086000,"In consumer economies where the unemployment rate is set by macroeconomic conditions , minimum wages help in keeping inflation from increasing too rapidly .",['SOCIAL_JUSTICE/INJUSTICE'],3,"['PRICES', 'UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"PRICES 
",gemma2:27b,2024-09-11T15:11:02.103088194Z,stop,251536273,53188709,212,50196000,5,105894000,That means higher prices for anyone stopping at the mall or Burger King — price bumps that could spread further out in the economy .,['PRICES'],1,['PRICES']
"ECONOMIC_IMPACT 
SOCIAL_JUSTICE/INJUSTICE  
",gemma2:27b,2024-09-11T15:11:02.692742819Z,stop,540970925,54884926,213,51107000,16,390333000,Studies from both sides of the debate make it relatively clear that increasing minimum wage will not make a significant impact on the poverty level .,['SOCIAL_JUSTICE/INJUSTICE'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'ECONOMIC_IMPACT']"
"SOCIAL_JUSTICE/INJUSTICE 

MOTIVATION/CHANCES 
",gemma2:27b,2024-09-11T15:11:03.41254042Z,stop,633052977,53678412,205,46815000,18,443526000,And a job may ultimately be the most valuable thing for a family struggling to escape poverty .,['SOCIAL_JUSTICE/INJUSTICE'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'MOTIVATION/CHANCES']"
"UN/EMPLOYMENT_RATE, SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:11:04.029379531Z,stop,612043344,54201307,210,51876000,17,417690000,"Yet a narrow majority also thought a rise would nonetheless be worthwhile , given the benefits to those who could find work .",['UN/EMPLOYMENT_RATE'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'UN/EMPLOYMENT_RATE']"
"PRICES 
ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:11:04.458333674Z,stop,378157956,56135589,199,44371000,10,234801000,"In Massachusetts , wages are higher , and so are prices .",['PRICES'],2,"['PRICES', 'ECONOMIC_IMPACT']"
"SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:11:04.92192338Z,stop,418302850,58652183,212,53204000,11,261184000,So maybe it 's better to think of the minimum wage as a way of getting more money to the broader working class .,['SOCIAL_JUSTICE/INJUSTICE'],1,['SOCIAL_JUSTICE/INJUSTICE']
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE, SOCIAL_JUSTICE/INJUSTICE  
",gemma2:27b,2024-09-11T15:11:05.702012839Z,stop,730274627,54918427,282,109149000,21,521435000,"Proponents of a higher minimum wage state that the current federal minimum wage of $ 7.25 per hour is too low for anyone to live on ; that a higher minimum wage will help create jobs and grow the economy ; that the declining value of the minimum wage is one of the primary causes of wage inequality between low - and middle-income workers ; and that a majority of Americans , including a slim majority of self-described conservatives , support increasing the minimum wage .","['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT', 'SOCIAL_JUSTICE/INJUSTICE']",3,"['SOCIAL_JUSTICE/INJUSTICE', 'UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:11:06.253055327Z,stop,461314366,57541606,210,52149000,11,261747000,"Looking at the argument from this perspective , the proposed increased wage to $ 15 will provide a living wage .",['SOCIAL_JUSTICE/INJUSTICE'],1,['SOCIAL_JUSTICE/INJUSTICE']
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE, PRICES 
",gemma2:27b,2024-09-11T15:11:06.795975471Z,stop,538721854,55042969,219,57990000,14,338188000,"Opponents of boosting the minimum wage focus mainly on the potentially detrimental side effects , like job reduction , and a rise in the cost of consumer goods and services .","['UN/EMPLOYMENT_RATE', 'PRICES']",3,"['PRICES', 'UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"PRICES 
",gemma2:27b,2024-09-11T15:11:07.10249494Z,stop,258907857,54401353,208,51782000,5,106440000,"This makes poor consumers worse off in a direct sense , in that they can purchase less with their earnings .","['SOCIAL_JUSTICE/INJUSTICE', 'PRICES']",1,['PRICES']
"ECONOMIC_IMPACT 
",gemma2:27b,2024-09-11T15:11:07.471103605Z,stop,323671303,66129062,253,79994000,6,130784000,"This also is n’t particularly surprising considering the UMass-Amherst study which found that a wage increase from $ 7.25 / hour to $ 15/hour , phased in over a period of four years , would have little to no impact on the fast food industry ’s profit margins in general .",['COMPETITION/BUSINESS_CHALLENGES'],1,['ECONOMIC_IMPACT']
"ECONOMIC_IMPACT 


",gemma2:27b,2024-09-11T15:11:07.811211478Z,stop,291475904,58661945,219,57533000,6,130348000,"Minimum wage laws , for instance proposals to index the minimum wage to average wages , have the potential to keep the dollar value of the minimum wage relevant and predictable .",['SOCIAL_JUSTICE/INJUSTICE'],1,['ECONOMIC_IMPACT']
"PRICES, COMPETITION/BUSINESS_CHALLENGES 
",gemma2:27b,2024-09-11T15:11:08.323423823Z,stop,463776829,57637476,233,73360000,12,286137000,"“ If a business has to pay more for anything , gasoline , produce , labor — they have to raise their prices or they have to cut costs , plain and simple , ” says Tom Scarda , a Certified Franchise Consultant .",['PRICES'],2,"['PRICES', 'COMPETITION/BUSINESS_CHALLENGES']"
"UN/EMPLOYMENT_RATE, YOUTH_AND_SECONDARY_WAGE_EARNERS 
",gemma2:27b,2024-09-11T15:11:09.03786437Z,stop,666184937,41327487,250,80022000,20,494429000,"-SKILLED In contrast to the simple supply and demand diagram , it was commonly found that teenagers withdrew from the labor force in response to the minimum wage , which produced the possibility of equal reductions in the supply as well as the demand for labor at a higher minimum wage and hence no impact on the unemployment rate .","['LOW', 'UN/EMPLOYMENT_RATE']",2,"['YOUTH_AND_SECONDARY_WAGE_EARNERS', 'UN/EMPLOYMENT_RATE']"
"PRICES 
",gemma2:27b,2024-09-11T15:11:09.346319901Z,stop,262698065,54080022,218,58178000,5,104496000,"This is one of the critics ’ many go-to arguments : Raise wages , they say , and businesses will have to raise prices to maintain their profits .",['PRICES'],1,['PRICES']
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE 
",gemma2:27b,2024-09-11T15:11:09.855647669Z,stop,463847910,57226036,233,74228000,12,285594000,"Their work was published in 2010 in the journal Review of Economics and Statistics and found that , in the restaurant and retail industries , boosting the minimum wage by 10 percent had effectively no impact on employment levels .",['UN/EMPLOYMENT_RATE'],2,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"CAPITAL_VS_LABOR 

SOCIAL_JUSTICE/INJUSTICE 
",gemma2:27b,2024-09-11T15:11:10.493695106Z,stop,589577990,55543012,205,46989000,18,443371000,"Saying we have a "" free market "" that will take care of workers is a myth .",['GOVERNMENT'],2,"['SOCIAL_JUSTICE/INJUSTICE', 'CAPITAL_VS_LABOR']"
"**ECONOMIC_IMPACT**, **MOTIVATION/CHANCES** 


Let me explain why:

* **ECONOMIC_IMPACT:** The statement discusses the effect of minimum wage on hiring practices (""reduce incentive for employer to hire"") and employee earnings (""helps employees earn more""). These are core elements of economic impact.
* **MOTIVATION/CHANCES:**  The phrase ""helps employees earn more"" directly relates to increased motivation and improved chances for workers due to higher wages. 
",gemma2:27b,2024-09-11T15:11:13.317766678Z,stop,2734352880,57081922,208,52509000,98,2538428000,""" It does n’t reduce incentive for employer to hire , and it helps employees earn more . ""","['UN/EMPLOYMENT_RATE', 'SOCIAL_JUSTICE/INJUSTICE']",2,"['MOTIVATION/CHANCES', 'ECONOMIC_IMPACT']"
"PRICES 
",gemma2:27b,2024-09-11T15:11:13.607882356Z,stop,284527631,44633085,207,48247000,5,103926000,"Meanwhile , Burger King and McDonald 's can raise their prices a little bit without scaring off customers .",['PRICES'],1,['PRICES']
"ECONOMIC_IMPACT, UN/EMPLOYMENT_RATE 
",gemma2:27b,2024-09-11T15:11:14.095026749Z,stop,439110038,55723976,210,51775000,12,288052000,Mandatory increases in hourly wages mean that businesses will be forced to cut jobs or reduce hours to maintain their bottom line .,['UN/EMPLOYMENT_RATE'],2,"['UN/EMPLOYMENT_RATE', 'ECONOMIC_IMPACT']"
"GOVERNMENT, CAPITAL_VS_LABOR 

**Explanation:**

* **GOVERNMENT:** The text discusses a Supreme Court ruling, highlighting the role of the government in shaping labor laws.
* **CAPITAL_VS_LABOR:**  The argument centers on the freedom of contract between employers (representing capital) and employees (representing labor). The case challenges the minimum wage as an infringement on this freedom. 


",gemma2:27b,2024-09-11T15:11:16.438102444Z,stop,2294595298,57285417,252,80409000,82,2114343000,"The Supreme Court , in its opinion in the 1923 case Adkins v. Children ’s Hospital of District of Columbia , made a strong argument that a minimum wage was a violation of the constitutionally guaranteed freedom of contract embedded in the Fifth Amendment ’s language about due process and the deprivation of liberty and property .",['GOVERNMENT'],2,"['CAPITAL_VS_LABOR', 'GOVERNMENT']"
